DATE,AVERAGE,MIN,MAX
2017-01-01,-5.1,-7.7,-1.1
2017-01-01,-2.9,-7.1,4
2017-01-02,-3.3,-5.4,-1.5
2017-01-02,0.3,-4.7,5.1
2017-01-03,-5.2,-8.4,-0.1
2017-01-03,-1,-6.2,5.3
2017-01-04,-3.8,-7.4,2.2
2017-01-04,-0.4,-4.2,7.9
2017-01-05,-4.7,-6,-3.1
2017-01-05,-1.2,-5,2.1
2017-01-06,-4.1,-6,-0.5
2017-01-06,-0.1,-3.8,6.2
2017-01-07,-1.1,-5,5.1
2017-01-07,-0.1,-5.6,9.8
2017-01-08,-1.3,-2.7,0.4
2017-01-08,2.7,0.9,6.8
2017-01-09,-5.2,-8.9,-1.7
2017-01-09,0.2,-4.8,4.2
2017-01-10,-11.3,-14.8,-7.6
2017-01-10,-5.3,-8.6,0
2017-01-11,-13.7,-17.9,-8.7
2017-01-11,-7.7,-12.2,-2.2
2017-01-12,-10.5,-14.4,-7.9
2017-01-12,-4.1,-7.8,0.1
2017-01-13,-14.9,-17.4,-11.9
2017-01-13,-8.7,-11.2,-6.4
2017-01-14,-18.3,-20.9,-14.7
2017-01-14,-12.5,-15.9,-7.3
2017-01-15,-14.2,-21.3,-8.1
2017-01-15,-12.3,-18.1,-2.8
2017-01-16,-10.8,-14,-6
2017-01-16,-9,-14.9,0
2017-01-17,-7.6,-11.1,-2.6
2017-01-17,-6.3,-11.9,3.6
2017-01-18,-8.4,-12,-4.1
2017-01-18,-4.7,-8.9,1.1
2017-01-19,-5.4,-9.4,-0.7
2017-01-19,-4.2,-10,5.2
2017-01-20,-10.7,-14.3,-8.5
2017-01-20,-5.9,-9,-3.6
2017-01-21,-13,-16.5,-9.8
2017-01-21,-9.1,-16,-3
2017-01-22,-15.6,-19.1,-10.9
2017-01-22,-9.7,-14.8,-5.1
2017-01-23,-17.5,-21.9,-12.4
2017-01-23,-14.1,-19.2,-6.4
2017-01-24,-12.5,-17.5,-9.2
2017-01-24,-9.6,-18.2,-3
2017-01-25,-9.3,-16,-3.1
2017-01-25,-10.7,-16.6,0.7
2017-01-26,-5.9,-8.7,-3
2017-01-26,-6,-15.6,4
2017-01-27,-8,-12.8,-4.3
2017-01-27,-2.8,-10.5,2.1
2017-01-28,-3.6,-9.6,1.3
2017-01-28,-4.6,-13.4,7.7
2017-01-29,-2.2,-3.9,-0.3
2017-01-29,0.5,-1.6,2.9
2017-01-30,-9.6,-14.6,-3.9
2017-01-30,-4.4,-9.7,0.2
2017-01-31,-11,-14.8,-6
2017-01-31,-7.6,-13.6,0.2
2017-02-01,-11.3,-15.4,-6.4
2017-02-01,-6.9,-11.6,0.6
2017-02-02,-8.4,-15.6,-4.9
2017-02-02,-7.6,-14.8,2.9
2017-02-03,-6.2,-11.4,-0.3
2017-02-03,-5.3,-11.7,5.4
2017-02-04,-1.3,-5.9,3.4
2017-02-04,-1,-8.9,9.9
2017-02-05,-4.5,-8.8,-2
2017-02-05,0.4,-2.9,3.7
2017-02-06,-10,-12.7,-7.3
2017-02-06,-4.6,-9.7,-0.1
2017-02-07,-6.9,-10.6,-1.8
