HID,PID,PARENTw1,PYBRT1Aw1,PYBRT1Bw1,PYGENDERw1,PHOMPOPw1,PRELATE1w1,PGENDER1w1,PBRTA1w1,PBRTB1w1,PRELATE2w1,PGENDER2w1,PBRTA2w1,PBRTB2w1,PRELATE3w1,PGENDER3w1,PBRTA3w1,PBRTB3w1,PRELATE4w1,PGENDER4w1,PBRTA4w1,PBRTB4w1,PRELATE5w1,PGENDER5w1,PBRTA5w1,PBRTB5w1,PRELATE6w1,PGENDER6w1,PBRTA6w1,PBRTB6w1,PRELATE7w1,PGENDER7w1,PBRTA7w1,PBRTB7w1,PRELATE8w1,PGENDER8w1,PBRTA8w1,PBRTB8w1,PYBRP1w1,PYBRP2w1,PYBRP3w1,PFAM1A00w1,PFAM1A00_Tw1,PEDU1A00w1,PEDU1B01w1,PEDU1B02w1,PEDU1B02_Tw1,PEDU1C00w1,PEDU1B03w1,PEDU1B04w1,PEDU1B04_Tw1,PFAM2A01w1,PFAM2A01_Tw1,PFAM2A02w1,PFAM2A02_Tw1,PFAM2A03w1,PFAM2A03_Tw1,PFAM2A04w1,PFAM2A04_Tw1,PFAM4A01w1,PFAM4A02w1,PFAM4A03w1,PFAM4A04w1,PFAM3A00w1,PFAM3B00w1,PFAM3C00w1,PFAM3D00w1,PMDA1A00w1,PMDA1B01w1,PMDA1B02w1,PMDA1B03w1,PMDA1B04w1,PMDA1B05w1,PMDA1B06w1,PMDA1B07w1,PMDA1B08w1,PMDA1B09w1,PMDA1B10w1,PMDA1B11w1,PMDA1B13w1,PMDA1B13_Tw1,PMDA1C01w1,PMDA1C02w1,PMDA1C03w1,PMDA1C04w1,PMDA1C05w1,PMDA1C06w1,PMDA1C07w1,PMDA1C08w1,PMDA1C09w1,PMDA1C10w1,PMDA1C11w1,PMDA1C12w1,PMDA1C13w1,PMDA1C14w1,PMDA1C15w1,PPSY1A01w1,PPSY1A02w1,PPSY1A03w1,PPSY1A04w1,PPSY1A05w1,PPSY2A01w1,PPSY2A02w1,PPSY2A03w1,PPSY2A04w1,PPSY3A01w1,PPSY3A02w1,PPSY3A03w1,PPSY3A04w1,PPSY3A05w1,PPSY3A06w1,PPSY3A07w1,PPSY3A08w1,PPSY3A09w1,PPSY3A10w1,PPSY4A01w1,PPSY4A02w1,PPSY4A03w1,PPSY4A04w1,PPSY4A05w1,PPSY4A06w1,PPSY4A07w1,PPSY4A08w1,PPSY4A09w1,PPSY4A10w1,PPSY4A11w1,PPSY4A12w1,PPSY4A13w1,PPSY4A14w1,PPSY4A15w1,PPSY4A16w1,PPSY4A17w1,PPSY4A18w1,PPSY4A19w1,PPSY4A20w1,PPSY4A21w1,PPSY4A22w1,PPSY4A23w1,PPSY4A24w1,PPSY4A25w1,PPSY4A26w1,PPSY4A27w1,PPSY4A28w1,PPSY4A29w1,PPSY4A30w1,PPSY4Ascw1,PPSY5A01w1,PPSY5A02w1,PPSY5A03w1,PPSY5A04w1,PPSY5A05w1,PPSY5A06w1,PPSY5A07w1,PPSY5A08w1,PPHY1A00w1,PPHY1B00w1,PPHY1C00w1,PPHY2A00w1,PPHY2B00w1,PBRP1w1,PBRP2w1,PBRP3w1,PSCHOOL1w1,PSCHOOL2w1,PSCHOOL3w1,PWORKW1w1,PWORKW2w1,PWORKW3w1,PJOB1w1,PJOB2w1,PJOB3w1,PJOB1_Tw1,PJOB2_Tw1,PJOB3_Tw1,PINCOMEw1,PINCOME1w1
2591,1,1,2004,11,1,4,1,2,1972,11,2,1,1971,9,3,1,2000,11,3,1,2004,11,,,,,,,,,,,,,,,,,1,9,,1,,1,6,5,,90,,,,1,,1,,1,,1,,4,0,9,0,3,1,4,3,1,4,4,4,4,2,1,4,3,3,4,4,8,,3,2,3,3,2,2,2,4,4,1,3,3,3,3,1,2,3,3,3,2,3,3,3,1,2,1,3,4,2,1,4,1,1,4,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,10,2,3,2,1,3,4,2,2,3,1,7,163,76,1,17,,6,6,10,1,2,3,3,,,,,,7,2
2592,1,1,2005,1,1,6,1,2,1969,9,2,1,1967,11,3,2,1999,2,3,2,2002,3,3,1,2005,1,3,2,2010,8,,,,,,,,,1,1,,1,,1,4,5,,35,,,,1,,1,,1,,1,,6,0,8,0,5,4,5,4,1,4,4,4,4,3,1,3,3,3,4,2,8,,3,3,2,3,2,1,1,1,1,3,2,2,2,2,3,3,3,4,3,4,3,4,3,2,3,2,3,3,2,2,3,3,2,3,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,-1,3,2,2,3,3,2,2,2,3,1,4,164,52,1,14,,6,6,10,1,1,3,1,2,,,,,6,3
2593,1,1,2005,7,1,5,1,2,1976,10,2,1,1972,3,3,1,2003,8,3,1,2005,7,3,1,2010,5,,,,,,,,,,,,,1,1,,1,,1,5,4,,50,,,,1,,1,,1,,1,,1,0,5,0,3,3,4,4,1,3,3,4,4,2,1,3,3,3,4,2,8,,1,1,3,1,3,2,2,2,2,3,2,1,1,1,3,2,2,2,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,-9,3,2,2,4,2,3,3,3,2,5,7,162,58,1,15,,6,5,10,1,1,3,2,9,,,,,8,3
2594,1,1,2005,6,1,4,1,2,1972,3,2,1,1972,7,3,1,2005,6,3,2,2011,2,,,,,,,,,,,,,,,,,1,1,,1,,1,6,8,없음,25,,,,1,,1,,1,,1,,4,30,10,0,5,5,5,3,1,3,4,3,3,1,1,3,3,2,4,2,8,,2,2,2,2,3,1,1,2,1,3,1,1,1,2,3,3,2,3,2,2,3,3,3,2,4,1,4,4,1,2,4,2,1,4,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,6,2,3,2,3,3,2,3,2,2,3,7,160,46,1,1,,7,6,10,1,1,3,3,3,,,,,7,3
2595,1,1,2005,12,1,5,1,2,1977,10,2,1,1974,12,3,1,2004,1,3,1,2005,12,3,1,2008,6,,,,,,,,,,,,,1,1,,1,,1,5,4,,20,,,,1,,1,,1,,1,,5,0,12,0,4,4,4,3,1,4,4,4,2,1,1,4,3,2,4,2,8,,2,1,2,1,4,1,1,1,1,4,1,1,1,1,4,2,3,3,3,2,3,3,3,2,3,2,3,3,2,2,3,3,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-5,2,3,2,3,2,2,3,3,2,1,5,160,50,1,1,,6,4,10,1,2,3,2,,,,,,4,3
2596,1,1,2005,1,1,5,1,1,1969,10,2,2,1976,12,3,1,2005,1,3,2,2008,2,3,2,2012,7,,,,,,,,,,,,,1,1,,1,,1,4,5,,12,,,,1,,1,,1,,1,,7,0,12,0,3,3,5,3,1,4,3,3,3,3,1,3,4,4,4,3,8,,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,3,3,3,2,2,4,3,2,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,2,3,2,4,2,1,3,3,4,1,2,161,52,1,1,,4,4,10,1,1,3,2,2,,,,,5,3
2597,1,1,2005,1,1,3,1,2,1978,7,6,2,1945,2,3,1,2005,1,,,,,,,,,,,,,,,,,,,,,1,1,,5,,1,4,5,,51,,,,1,,1,,1,,1,,3,0,6,0,4,3,4,4,1,4,3,4,4,1,1,3,2,4,4,1,8,,4,1,1,1,4,1,1,1,1,4,1,1,1,1,4,2,2,2,3,1,3,3,3,1,2,1,3,3,2,1,3,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-2,3,4,3,4,2,3,3,3,2,1,0,156,53,1,1,,4,4,10,1,1,3,9,9,,,,,4,2
2598,1,1,2005,12,2,4,1,2,1975,4,2,1,1975,3,3,2,2005,12,3,1,2009,3,,,,,,,,,,,,,,,,,1,1,,1,,1,5,1,,80,,,,1,,1,,1,,1,,5,0,13,0,4,3,4,4,1,4,3,3,3,3,2,2,2,2,4,4,8,,2,1,2,2,3,2,2,2,2,3,2,2,3,3,2,2,2,2,3,1,3,3,3,3,2,2,2,3,3,3,3,2,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,6,2,3,3,2,2,2,2,2,3,1,3,158,60,1,1,,5,6,10,1,1,3,1,2,,,,,6,2
2599,1,1,2005,12,1,4,1,2,1972,5,2,1,1967,1,3,1,2005,12,3,2,2009,2,,,,,,,,,,,,,,,,,1,1,,1,,1,5,2,,70,,,,1,,1,,2,,2,,1,0,7,0,3,2,4,4,1,4,4,3,3,1,1,4,3,4,4,1,8,,1,1,1,1,4,1,1,1,1,3,1,1,1,1,3,1,2,2,1,1,2,2,2,3,1,2,3,3,2,2,3,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,2,2,2,3,2,2,3,3,3,3,7,162,51,1,2,,6,6,10,1,1,3,5,4,,,,,6,2
2600,1,1,2005,3,2,4,1,2,1971,8,2,1,1970,8,3,1,2002,3,3,2,2005,3,,,,,,,,,,,,,,,,,1,1,,1,,1,3,1,,65,,,,1,,1,,1,,1,,6,0,12,0,4,3,3,3,1,4,4,4,4,3,2,3,4,4,4,4,8,,2,2,2,2,3,1,1,1,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,3,3,2,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,-2,3,3,2,3,2,2,3,2,3,1,6,160,53,1,2,,7,6,10,1,1,3,2,3,,,,,8,3
